graph_id,variant,density,nodes,edges,sccs_found,condensation_nodes,condensation_edges,tarjan_dfs_visits,tarjan_edge_traversals,tarjan_stack_ops,tarjan_time_ms,kosaraju_dfs_visits,kosaraju_edge_traversals,kosaraju_stack_ops,kosaraju_time_ms,kahn_edge_traversals,kahn_queue_ops,kahn_time_ms,dfs_topo_visits,dfs_topo_edge_traversals,dfs_topo_stack_ops,dfs_topo_time_ms,shortest_relaxations,shortest_time_ms,longest_relaxations,longest_time_ms,critical_path_length
1,pure_dag,sparse,6,10,6,6,10,6,10,12,0.0688,12,20,12,0.0952,10,12,0.1703,6,10,12,0.0578,5,0.0316,5,0.0274,16
2,one_cycle,sparse,8,14,1,1,0,8,14,16,0.0314,16,28,16,0.6250,0,2,0.0132,1,0,2,0.0042,0,0.0019,0,0.0009,0
3,two_cycles,sparse,10,18,2,2,1,10,18,20,0.0242,20,36,20,0.1088,1,4,0.0175,2,1,4,0.0055,1,0.0026,1,0.0014,9
4,mixed,sparse,12,21,3,3,3,12,21,24,0.2008,24,42,24,0.0535,3,6,0.0135,3,3,6,0.0065,3,0.0033,3,0.0022,10
5,mixed,sparse,16,28,5,5,7,16,28,32,0.0391,32,56,32,0.1624,7,10,0.0175,5,7,10,0.0105,7,0.0048,7,0.0036,29
6,mixed,sparse,20,36,4,4,5,20,36,40,0.0665,40,72,40,0.0662,5,8,0.0123,4,5,8,0.0076,5,0.0038,5,0.0027,25
7,many_sccs,sparse,25,45,7,7,11,25,45,50,0.0893,50,90,50,0.0866,11,14,0.0156,7,11,14,0.0114,4,0.0041,4,0.0031,16
8,pure_dag,sparse,35,63,35,35,63,35,63,70,0.1209,70,126,70,0.1210,63,70,0.0617,35,63,70,0.0642,16,0.0114,16,0.0104,33
9,many_sccs,sparse,50,90,5,5,8,50,90,100,0.0816,100,180,100,0.2405,8,10,0.0154,5,8,10,0.0094,5,0.0045,5,0.0036,16
1,pure_dag,dense,6,10,6,6,10,6,10,12,0.0412,12,20,12,0.0317,10,12,0.0194,6,10,12,0.0075,7,0.0050,7,0.0039,15
2,one_cycle,dense,8,18,1,1,0,8,18,16,0.0141,16,36,16,0.0254,0,2,0.0060,1,0,2,0.0020,0,0.0014,0,0.0010,0
3,two_cycles,dense,10,30,2,2,1,10,30,20,0.0286,20,60,20,0.0379,1,4,0.0124,2,1,4,0.0032,1,0.0026,1,0.0017,2
4,mixed,dense,12,25,5,5,7,12,25,24,0.0187,24,50,24,0.0411,7,10,0.0131,5,7,10,0.0068,7,0.0045,7,0.0035,28
5,mixed,dense,16,41,5,5,5,16,41,32,0.0291,32,82,32,0.0526,5,10,0.0118,5,5,10,0.0063,5,0.0043,5,0.0068,21
6,mixed,dense,20,80,4,4,4,20,80,40,0.0426,40,160,40,0.0656,4,8,0.0111,4,4,8,0.0052,4,0.0036,4,0.0026,13
7,many_sccs,dense,25,67,10,10,27,25,67,50,0.0444,50,134,50,0.0865,27,20,0.0244,10,27,20,0.0122,17,0.0075,17,0.0058,46
8,pure_dag,dense,35,140,35,35,140,35,140,70,0.0749,70,280,70,0.1447,140,70,0.0974,35,140,70,0.0478,53,0.0183,53,0.0193,28
9,many_sccs,dense,50,200,9,9,23,50,200,100,0.0997,100,400,100,0.1895,23,18,0.0260,9,23,18,0.0128,14,0.0082,14,0.0056,37
